FL_DATE,OP_UNIQUE_CARRIER,OP_CARRIER_FL_NUM,ORIGIN,ORIGIN_STATE_ABR,DEST,DEST_STATE_ABR,CRS_DEP_TIME,DEP_TIME,HOLIDAY,DEP_DELAY_NEW,DISTANCE,aver_temp,total_snow,aver_wind_speed,precipitation,aver_visibility,label
2018-01-01,WN,2034,IND,IN,BWI,MD,1725,1816.0,1,51.0,516.0,-20.5,0.0,12.88,0.0,9.0,1.0
2018-01-01,DL,2578,IAD,VA,ATL,GA,946,1107.0,1,81.0,534.0,-9.0,0.0,14.0,0.0,10.0,1.0
2018-01-01,B6,2451,BOS,MA,MCO,FL,840,935.0,1,55.0,1121.0,-15.0,0.0,17.75,0.0,10.0,1.0
2018-01-01,WN,567,SAT,TX,ATL,GA,1815,1926.0,1,71.0,874.0,-2.0,0.4,17.25,0.5,9.75,1.0
2018-01-01,AA,1690,CLT,NC,ORD,IL,1959,2014.0,1,15.0,599.0,-4.0,0.0,11.38,0.0,10.0,1.0
2018-01-01,AA,1604,EGE,CO,MIA,FL,1220,1247.0,1,27.0,1810.0,-4.0,0.0,7.38,0.0,10.0,1.0
2018-01-01,WN,1815,RDU,NC,BWI,MD,1645,1701.0,1,16.0,255.0,-5.5,0.0,13.5,0.0,10.0,1.0
2018-01-01,WN,1789,PHX,AZ,SAN,CA,1130,1236.0,1,66.0,304.0,16.5,0.0,5.13,0.0,10.0,1.0
2018-01-01,F9,1798,SJC,CA,LAS,NV,1345,1440.0,1,55.0,386.0,14.0,0.0,2.75,0.0,10.0,1.0
2018-01-01,B6,1076,MCO,FL,PVD,RI,1410,1652.0,1,162.0,1072.0,12.0,0.0,15.38,1.4,7.88,1.0
2018-01-01,AA,1544,DFW,TX,IAD,VA,1425,1455.0,1,30.0,1172.0,-5.0,0.0,14.88,0.0,10.0,1.0
2018-01-01,AA,1258,DFW,TX,ORD,IL,1145,1232.0,1,47.0,802.0,-5.0,0.0,14.88,0.0,10.0,1.0
2018-01-01,DL,2431,ATL,GA,PIT,PA,1105,1231.0,1,86.0,526.0,-4.0,0.0,13.25,0.0,10.0,1.0
2018-01-01,WN,714,BWI,MD,MCI,MO,2005,2053.0,1,48.0,967.0,-8.5,0.0,15.63,0.0,10.0,1.0
2018-01-01,WN,6142,LAS,NV,ABQ,NM,2145,2210.0,1,25.0,486.0,10.0,0.0,1.75,0.0,10.0,1.0
2018-01-01,YV,6261,LGA,NY,IAD,VA,1925,2003.0,1,38.0,229.0,-10.5,0.0,21.63,0.0,10.0,1.0
2018-01-01,WN,1541,OKC,OK,HOU,TX,1220,1252.0,1,32.0,419.0,-10.5,0.0,15.13,0.0,10.0,1.0
2018-01-01,OH,5331,CLT,NC,CMH,OH,900,928.0,1,28.0,347.0,-4.0,0.0,11.38,0.0,10.0,1.0
2018-01-01,OO,5497,BUR,CA,DEN,CO,1555,1831.0,1,156.0,850.0,16.5,0.0,4.0,0.0,10.0,1.0
2018-01-01,DL,2370,PBI,FL,LGA,NY,1859,1938.0,1,39.0,1035.0,20.5,0.0,13.0,0.1,10.0,1.0
2018-01-01,B6,1217,BOS,MA,JFK,NY,2147,2237.0,1,50.0,187.0,-15.0,0.0,17.75,0.0,10.0,1.0
2018-01-01,AA,195,MCO,FL,MIA,FL,1135,1352.0,1,137.0,192.0,12.0,0.0,15.38,1.4,7.88,1.0
2018-01-01,AS,569,OAK,CA,SEA,WA,1847,1909.0,1,22.0,672.0,13.0,0.0,3.13,0.0,10.0,1.0
2018-01-01,9E,3348,ATL,GA,MOB,AL,1710,1811.0,1,61.0,302.0,-4.0,0.0,13.25,0.0,10.0,1.0
2018-01-01,DL,853,MSP,MN,TUS,AZ,1115,1136.0,1,21.0,1298.0,-22.5,0.0,10.25,0.0,8.0,1.0
2018-01-01,UA,569,RIC,VA,ORD,IL,630,705.0,1,35.0,642.0,-6.5,0.0,11.63,0.0,10.0,1.0
2018-01-01,YX,4708,STL,MO,PHL,PA,1610,1720.0,1,70.0,814.0,-17.5,0.0,12.25,0.0,10.0,1.0
2018-01-01,DL,1724,EWR,NJ,SLC,UT,1726,2020.0,1,174.0,1969.0,-10.5,0.0,19.5,0.0,10.0,1.0
2018-01-01,NK,337,DTW,MI,MCO,FL,1045,1310.0,1,145.0,957.0,-14.0,0.0,13.5,0.0,9.0,1.0
2018-01-01,AA,767,PHX,AZ,CLT,NC,1120,1150.0,1,30.0,1773.0,16.5,0.0,5.13,0.0,10.0,1.0
2018-01-01,WN,6033,LAX,CA,ELP,TX,1640,1718.0,1,38.0,715.0,17.0,0.0,5.0,0.0,10.0,1.0
2018-01-01,YX,6050,LGA,NY,BOS,MA,1000,1020.0,1,20.0,184.0,-10.5,0.0,21.63,0.0,10.0,1.0
2018-01-01,WN,1371,SMF,CA,SAN,CA,1125,1450.0,1,205.0,480.0,12.0,0.0,3.5,0.0,10.0,1.0
2018-01-01,UA,495,LAX,CA,DEN,CO,545,604.0,1,19.0,862.0,17.0,0.0,5.0,0.0,10.0,1.0
2018-01-01,MQ,3316,SJT,TX,DFW,TX,2020,2218.0,1,118.0,229.0,-5.5,0.0,14.75,0.0,10.0,1.0
2018-01-01,DL,1226,ATL,GA,RSW,FL,1732,1811.0,1,39.0,515.0,-4.0,0.0,13.25,0.0,10.0,1.0
2018-01-01,WN,5602,SJC,CA,SNA,CA,1725,1757.0,1,32.0,342.0,14.0,0.0,2.75,0.0,10.0,1.0
2018-01-01,EV,5327,DTW,MI,HPN,NY,830,1209.0,1,219.0,505.0,-14.0,0.0,13.5,0.0,9.0,1.0
2018-01-01,OO,5406,DFW,TX,DEN,CO,1645,1728.0,1,43.0,641.0,-5.0,0.0,14.88,0.0,10.0,1.0
2018-01-01,B6,1726,TPA,FL,JFK,NY,2235,2339.0,1,64.0,1005.0,12.0,0.0,17.75,0.6,9.0,1.0
2018-01-01,WN,1446,SAN,CA,LAS,NV,1230,1309.0,1,39.0,258.0,15.0,0.0,6.0,0.0,10.0,1.0
2018-01-01,WN,192,MDW,IL,GRR,MI,1340,1413.0,1,33.0,137.0,-19.0,0.0,15.38,0.0,10.0,1.0
2018-01-02,UA,1828,DEN,CO,IAH,TX,1403,1422.0,1,19.0,862.0,-3.5,0.0,8.0,0.0,10.0,1.0
2018-01-02,OO,3336,SAN,CA,AUS,TX,1941,2143.0,1,122.0,1164.0,17.0,0.0,6.0,0.0,10.0,1.0
2018-01-02,DL,671,DTW,MI,MCO,FL,2017,2040.0,1,23.0,957.0,-14.5,0.0,19.13,0.0,10.0,1.0
2018-01-02,EV,2833,DFW,TX,MHK,KS,1550,1814.0,1,144.0,431.0,-4.0,0.0,9.5,0.0,10.0,1.0
2018-01-02,UA,249,IAH,TX,MFE,TX,2145,2243.0,1,58.0,316.0,-0.5,0.0,11.63,0.0,10.0,1.0
2018-01-02,NK,921,LGA,NY,MYR,SC,1105,1120.0,1,15.0,563.0,-7.0,0.0,21.13,0.0,10.0,1.0
2018-01-02,B6,665,BOS,MA,RSW,FL,750,925.0,1,95.0,1249.0,-12.0,0.0,12.0,0.0,10.0,1.0
2018-01-02,B6,1038,AUS,TX,BOS,MA,1846,1956.0,1,70.0,1698.0,-1.5,0.0,12.75,0.0,10.0,1.0
2018-01-02,OO,4495,ORF,VA,DTW,MI,1239,1307.0,1,28.0,529.0,-5.0,0.0,20.13,0.0,10.0,1.0
2018-01-02,WN,6075,MDW,IL,LAX,CA,1220,1249.0,1,29.0,1750.0,-18.0,0.0,17.5,0.0,10.0,1.0
2018-01-02,WN,1336,MCO,FL,BNA,TN,840,901.0,1,21.0,616.0,10.0,0.0,24.0,0.9,7.0,1.0
2018-01-02,WN,3862,MCO,FL,MDW,IL,1730,1757.0,1,27.0,990.0,10.0,0.0,24.0,0.9,7.0,1.0
2018-01-02,AA,1141,LGA,NY,DFW,TX,1300,1331.0,1,31.0,1389.0,-7.0,0.0,21.13,0.0,10.0,1.0
2018-01-02,OO,5062,ORD,IL,EAU,WI,1215,1307.0,1,52.0,269.0,-17.5,0.0,16.5,0.0,10.0,1.0
2018-01-02,DL,2554,MCI,MO,MSP,MN,610,628.0,1,18.0,393.0,-12.5,0.0,9.75,0.0,10.0,1.0
2018-01-02,UA,408,SFO,CA,IAD,VA,730,746.0,1,16.0,2419.0,14.0,0.0,6.0,0.0,10.0,1.0
2018-01-02,MQ,3738,FAR,ND,ORD,IL,1551,1650.0,1,59.0,557.0,-16.5,0.0,20.38,0.0,10.0,1.0
2018-01-02,9E,3472,MLB,FL,ATL,GA,1425,1518.0,1,53.0,442.0,15.5,0.0,30.13,1.2,10.0,1.0
2018-01-02,OO,3029,ORD,IL,DTW,MI,2135,2327.0,1,112.0,235.0,-17.5,0.0,16.5,0.0,10.0,1.0
2018-01-02,WN,1297,DTW,MI,BWI,MD,1525,1603.0,1,38.0,409.0,-14.5,0.0,19.13,0.0,10.0,1.0
2018-01-02,AA,1133,DTW,MI,ORD,IL,1526,1555.0,1,29.0,235.0,-14.5,0.0,19.13,0.0,10.0,1.0
2018-01-02,OO,4439,GSP,SC,DTW,MI,1752,1919.0,1,87.0,508.0,-4.0,0.0,4.38,0.0,10.0,1.0
2018-01-02,WN,6482,DAL,TX,MAF,TX,800,827.0,1,27.0,319.0,-4.0,0.0,10.13,0.0,10.0,1.0
2018-01-02,DL,2505,DFW,TX,ATL,GA,1335,2132.0,1,477.0,731.0,-4.0,0.0,9.5,0.0,10.0,1.0
