FL_DATE,OP_UNIQUE_CARRIER,OP_CARRIER_FL_NUM,ORIGIN,ORIGIN_STATE_ABR,DEST,DEST_STATE_ABR,CRS_DEP_TIME,DEP_TIME,HOLIDAY,DEP_DELAY_NEW,DISTANCE,aver_temp,total_snow,aver_wind_speed,precipitation,aver_visibility,label
2018-01-10,WN,655,BWI,MD,TPA,FL,1145,1346.0,0,121.0,842.0,1.0,0.0,7.25,0.0,10.0,1.0
2018-01-03,DL,2446,FLL,FL,ATL,GA,1455,1451.0,0,0.0,581.0,17.5,0.0,27.13,0.8,10.0,0.0
2018-01-03,OO,5048,RKS,WY,DEN,CO,545,552.0,0,7.0,260.0,-6.0,0.0,6.88,0.0,10.0,0.0
2018-01-18,UA,310,BWI,MD,ORD,IL,948,937.0,0,0.0,622.0,-3.0,0.0,15.13,0.0,10.0,0.0
2018-01-06,F9,607,IND,IN,DEN,CO,1957,2036.0,0,39.0,977.0,-15.5,0.0,7.25,0.0,9.0,1.0
2018-01-05,VX,1957,SAN,CA,SFO,CA,1150,1159.0,0,9.0,447.0,17.5,0.0,9.13,0.0,10.0,0.0
2018-01-17,AA,1460,DFW,TX,DCA,VA,1000,957.0,0,0.0,1192.0,-4.0,0.0,6.38,0.0,10.0,0.0
2018-01-03,EV,3925,MKE,WI,ORD,IL,1020,1047.0,0,27.0,67.0,-11.5,0.1,20.13,0.1,9.38,1.0
2018-01-04,WN,1797,LAX,CA,SLC,UT,1520,1536.0,0,16.0,590.0,18.0,0.0,5.25,0.0,10.0,1.0
2018-01-16,B6,190,SAN,CA,JFK,NY,1330,1320.0,0,0.0,2446.0,16.0,0.0,6.5,0.0,10.0,0.0
2018-01-08,HA,549,KOA,HI,HNL,HI,1017,1015.0,0,0.0,163.0,23.5,0.0,11.5,0.2,10.0,0.0
2018-01-12,WN,267,TPA,FL,SAT,TX,1550,1552.0,1,2.0,972.0,21.5,0.0,19.75,0.2,10.0,0.0
2018-01-19,9E,3400,DTW,MI,PIT,PA,1525,1519.0,0,0.0,201.0,-2.0,0.0,22.63,0.0,10.0,0.0
2018-01-10,9E,3665,ATL,GA,SHV,LA,936,932.0,0,0.0,551.0,13.0,0.0,12.63,0.1,6.5,0.0
2018-01-02,WN,6694,JAX,FL,BWI,MD,1515,1525.0,1,10.0,663.0,3.0,0.0,24.63,0.0,10.0,0.0
2018-01-05,WN,1576,LAX,CA,SJC,CA,1150,1144.0,0,0.0,308.0,18.5,0.0,5.63,0.0,10.0,0.0
2018-01-18,OO,5006,SBA,CA,LAX,CA,1335,1331.0,0,0.0,89.0,17.0,0.0,7.0,0.0,10.0,0.0
2018-01-17,B6,279,LAS,NV,LGB,CA,849,837.0,0,0.0,231.0,11.5,0.0,3.13,0.0,10.0,0.0
2018-01-03,NK,817,DFW,TX,LAS,NV,2245,2242.0,0,0.0,1055.0,0.5,0.0,9.0,0.0,10.0,0.0
2018-01-02,NK,611,EWR,NJ,MYR,SC,955,954.0,1,0.0,550.0,-8.0,0.0,19.5,0.0,10.0,0.0
2018-01-29,DL,492,JFK,NY,ATL,GA,1945,1940.0,0,0.0,760.0,4.0,0.4,21.5,0.5,9.0,0.0
2018-01-16,DL,2262,LAX,CA,JFK,NY,1415,1407.0,0,0.0,2475.0,18.0,0.0,4.38,0.0,10.0,0.0
2018-01-18,AA,1910,PBI,FL,CLT,NC,650,815.0,0,85.0,590.0,11.0,0.0,25.63,0.0,10.0,1.0
2018-01-11,OO,5074,CGI,MO,UIN,IL,625,618.0,0,0.0,207.0,9.5,0.0,23.25,5.2,8.38,0.0
2018-01-19,DL,2210,SEA,WA,HNL,HI,815,814.0,0,0.0,2677.0,5.0,0.0,10.0,0.0,10.0,0.0
2018-01-01,UA,495,LAX,CA,DEN,CO,545,604.0,1,19.0,862.0,17.0,0.0,5.0,0.0,10.0,1.0
2018-01-07,OO,4957,SFO,CA,SEA,WA,1030,1142.0,0,72.0,679.0,11.0,0.0,5.13,0.0,10.0,1.0
2018-01-01,WN,192,MDW,IL,GRR,MI,1340,1413.0,1,33.0,137.0,-19.0,0.0,15.38,0.0,10.0,1.0
2018-01-13,DL,1789,ATL,GA,MEM,TN,1205,1201.0,1,0.0,332.0,0.0,0.0,20.63,0.0,10.0,0.0
